Data taking started at   1664290927.6528 seconds (2022-09-27 11:02:07.652803)
Event     Delta Time     Absolute Time   min[V]   max[V]   Delay[us]   pulse size
    0         6.3320   1664290933.9848  -0.0848   0.0032      1.4660      26.4040
    1        16.3531   1664290944.0059  -0.1008   0.0032      2.4880      26.3432
    2        22.1013   1664290949.7541  -0.1600   0.0040      1.2560      26.3912
    3        25.4038   1664290953.0566  -0.1600   0.0040      0.9600      25.0336
    4        27.7251   1664290955.3779  -0.1024   0.0032      4.3240      25.6248
    5        33.2681   1664290960.9209  -0.1600   0.0032      1.3460      24.4544
    6        42.4587   1664290970.1115  -0.0568   0.0032      0.8600      27.4016
    7        43.1319   1664290970.7847  -0.1320   0.0032      1.2820      26.4192
    8        77.6667   1664291005.3196  -0.1368   0.0032      7.2660      26.2032
    9        90.0930   1664291017.7458  -0.1600   0.0032      1.0020      27.2480
   10        91.1825   1664291018.8353  -0.1600   0.0032      1.7560      25.9456
   11        98.7704   1664291026.4232  -0.1600   0.0096      0.6660      39.4080
   12       116.4726   1664291044.1254  -0.0824   0.0032      1.3240      28.1224
   13       116.7324   1664291044.3852  -0.1440   0.0032     11.6000      27.4648
   14       118.8262   1664291046.4790  -0.0520   0.0032      1.8660      27.5008
   15       159.2520   1664291086.9048  -0.1600   0.0032     10.8360      26.8328
   16       165.6003   1664291093.2531  -0.0600   0.0032      5.3120      27.8584
   17       168.9041   1664291096.5569  -0.1600   0.0032      0.5700      27.8112
   18       171.6237   1664291099.2765  -0.0480   0.0032      0.5820      28.3576
   19       187.7146   1664291115.3674  -0.1288   0.0032      4.0340      27.4944
   20       192.8560   1664291120.5088  -0.1600   0.0040      0.7860      27.3336
   21       220.2956   1664291147.9484  -0.1096   0.0032      4.0820      27.8136
   22       241.8440   1664291169.4968  -0.0536   0.0032      1.0940      28.6832
   23       243.1337   1664291170.7865  -0.1600   0.0112      0.6660      42.0848
   24       268.9588   1664291196.6116  -0.1600   0.0032      2.9140      27.4456
   25       278.1507   1664291205.8035  -0.1296   0.0032      1.9820      27.5072
   26       281.0794   1664291208.7322  -0.1560   0.0032      2.4520      28.5336
   27       294.9499   1664291222.6028  -0.0936   0.0032      1.5040      28.2744
   28       320.9747   1664291248.6275  -0.1328   0.0032      1.5140      27.9912
