Data taking started at   1663947705.6144 seconds (2022-09-23 11:41:45.614429)
Event     Delta Time     Absolute Time   min[V]   max[V]   Delay[us]   pulse size
    0        22.5229   1663947728.1374  -0.1096   0.0032      2.5680      27.8896
    1        33.1508   1663947738.7652  -0.1600   0.0040      3.4460      28.4680
    2        33.5911   1663947739.2055  -0.1128   0.0032      2.7880      28.6488
    3        51.1088   1663947756.7232  -0.0688   0.0032      0.7380      29.3312
    4        66.3932   1663947772.0077  -0.0936   0.0032      1.4840      28.6936
    5       109.0230   1663947814.6375  -0.0880   0.0032      6.7020      28.5904
    6       127.3502   1663947832.9646  -0.0464   0.0032      1.8840      29.4656
    7       151.5681   1663947857.1825  -0.1248   0.0032      4.0280      27.8664
    8       174.9779   1663947880.5923  -0.1600   0.0040      1.4460      29.8856
    9       234.4626   1663947940.0770  -0.1040   0.0032      0.8260      29.0856
   10       305.2862   1663948010.9006  -0.1336   0.0040      2.0460      28.1176
   11       322.5816   1663948028.1960  -0.1000   0.0032      1.3200      29.7600
   12       348.3809   1663948053.9953  -0.1136   0.0032      0.6400      28.8192
   13       355.9717   1663948061.5862  -0.1560   0.0032      3.2380      28.6384
   14       369.0122   1663948074.6266  -0.1600   0.0040      2.0260      28.8400
   15       388.7417   1663948094.3561  -0.0392   0.0032      3.5200      29.4432
   16       427.7342   1663948133.3486  -0.0712   0.0032      2.6040      29.6760
   17       469.9703   1663948175.5847  -0.0856   0.0032      0.5880      29.4208
   18       471.2601   1663948176.8745  -0.1600   0.0040      2.1240      28.9928
   19       498.0934   1663948203.7078  -0.1128   0.0032      5.1600      28.8984
