Data taking started at   1664294842.0286 seconds (2022-09-27 12:07:22.028607)
Event     Delta Time     Absolute Time   min[V]   max[V]   Delay[us]   pulse size
    0        22.0681   1664294864.0967  -0.1136   0.0032      0.8900      26.3456
    1        42.6300   1664294884.6586  -0.1120   0.0032      0.8420      26.4488
    2        44.1192   1664294886.1478  -0.1208   0.0032      4.5740      27.2768
    3        57.9658   1664294899.9944  -0.1600   0.0040      1.9320      26.0768
    4        71.2114   1664294913.2400  -0.0872   0.0032      3.1940      27.5304
    5        80.2313   1664294922.2599  -0.1600   0.0032      2.7580      26.5672
    6        91.6564   1664294933.6850  -0.1496   0.0032      2.1280      26.7696
    7       101.8559   1664294943.8845  -0.1264   0.0032      1.9020      27.2744
    8       106.9993   1664294949.0279  -0.1256   0.0032      1.7200      27.0752
    9       120.4615   1664294962.4901  -0.0856   0.0032      4.2900      27.3360
   10       136.7600   1664294978.7886  -0.0448   0.0032      4.4740      28.4120
   11       137.4397   1664294979.4683  -0.1336   0.0032      7.7680      26.1008
   12       146.4328   1664294988.4614  -0.1072   0.0032      0.6500      27.3104
   13       189.6740   1664295031.7026  -0.1216   0.0032      4.6960      26.7496
   14       200.2924   1664295042.3210  -0.1392   0.0032      9.5940      26.8888
   15       224.8959   1664295066.9245  -0.1128   0.0032      1.8860      27.3448
   16       292.8931   1664295134.9217  -0.1536   0.0032      2.5980      27.7632
   17       317.9133   1664295159.9419  -0.1600   0.0040      3.0680      27.8432
   18       319.6282   1664295161.6568  -0.1272   0.0032      1.9100      27.0632
   19       330.0443   1664295172.0729  -0.1400   0.0032      3.0560      27.9256
   20       369.6492   1664295211.6778  -0.0816   0.0032      2.3700      28.5320
   21       385.9322   1664295227.9608  -0.1176   0.0032      1.0860      28.4120
   22       390.0630   1664295232.0916  -0.1528   0.0032      1.1400      27.2552
   23       497.5767   1664295339.6053  -0.1104   0.0032      2.2540      26.9840
   24       499.8956   1664295341.9242  -0.1352   0.0032      1.0200      27.7848
   25       504.0243   1664295346.0529  -0.1600   0.0032      2.2140      27.7560
   26       539.3679   1664295381.3965  -0.1600   0.0032      0.5140      28.1280
   27       554.2278   1664295396.2564  -0.1400   0.0032      4.3220      27.8712
   28       573.5668   1664295415.5954  -0.0832   0.0032      3.9620      27.5600
   29       594.7221   1664295436.7507  -0.1600   0.0032      1.0060      27.6952
   30       598.8408   1664295440.8694  -0.1000   0.0032      3.2200      28.2160
   31       608.2527   1664295450.2813  -0.1600   0.0032      0.7740      28.0232
   32       638.1356   1664295480.1643  -0.1304   0.0032      1.6620      27.6896
   33       650.5744   1664295492.6030  -0.0992   0.0032      1.4120      26.7232
   34       652.2587   1664295494.2873  -0.1600   0.0032      0.9540      28.1632
   35       672.8275   1664295514.8561  -0.0640   0.0032      1.9580      28.1960
   36       682.4187   1664295524.4473  -0.0728   0.0032      0.5880      28.8840
   37       702.1849   1664295544.2135  -0.1424   0.0032      2.1500      28.0136
   38       714.6416   1664295556.6702  -0.1512   0.0040      0.7860      27.2456
   39       719.3747   1664295561.4033  -0.1592   0.0032      2.0520      27.0384
   40       785.9464   1664295627.9750  -0.1600   0.0032      3.1020      27.8232
   41       787.8418   1664295629.8704  -0.0384   0.0032      2.0500      28.1096
   42       799.8737   1664295641.9023  -0.1128   0.0032      1.1640      28.2208
   43       805.6229   1664295647.6515  -0.1024   0.0032      2.0220      27.3904
   44       806.9127   1664295648.9413  -0.1408   0.0032      1.9760      27.2496
   45       810.6460   1664295652.6746  -0.1328   0.0032      0.7000      28.2512
   46       854.3042   1664295696.3328  -0.1424   0.0040      0.5660      27.3248
   47       865.7351   1664295707.7637  -0.0840   0.0032      2.8940      28.5016
   48       867.0253   1664295709.0539  -0.1600   0.0032      1.1040      28.7312
   49       896.8843   1664295738.9129  -0.1488   0.0032      1.0620      27.9864
   50       903.6645   1664295745.6931  -0.1600   0.0032      7.0920      27.6200
   51       918.1388   1664295760.1674  -0.1456   0.0032      1.6260      27.9024
   52       928.9628   1664295770.9914  -0.1296   0.0032      1.6000      28.3384
   53       953.1554   1664295795.1840  -0.0896   0.0032      0.9560      28.1384
   54       973.7152   1664295815.7438  -0.1600   0.0032      0.7760      28.0672
   55       991.6333   1664295833.6619  -0.0520   0.0032      1.9440      28.0512
   56      1014.8219   1664295856.8505  -0.1600   0.0032      1.6080      26.9792
   57      1057.2736   1664295899.3022  -0.1600   0.0032      1.8600      26.8752
   58      1057.7237   1664295899.7523  -0.1600   0.0032      0.6820      27.7240
   59      1070.7774   1664295912.8060  -0.0304   0.0032      5.3740      28.4304
   60      1083.4394   1664295925.4680  -0.1320   0.0032      2.1360      28.0160
   61      1110.4805   1664295952.5091  -0.1488   0.0032      0.9300      27.6448
   62      1122.1104   1664295964.1390  -0.1280   0.0032      0.8780      27.8752
   63      1131.5224   1664295973.5510  -0.1600   0.0032      0.5180      27.4608
   64      1134.6337   1664295976.6623  -0.1600   0.0040      2.6300      26.9776
   65      1143.4399   1664295985.4685  -0.1600   0.0032      1.8320      26.8600
   66      1175.1528   1664296017.1814  -0.1600   0.0032      3.4360      26.7440
   67      1178.4577   1664296020.4863  -0.1592   0.0032      1.9620      27.5424
   68      1226.5756   1664296068.6042  -0.0624   0.0032      0.9880      28.8200
   69      1242.0624   1664296084.0910  -0.1024   0.0032      1.4620      27.1376
   70      1251.8540   1664296093.8826  -0.1600   0.0032     10.0640      26.8912
   71      1263.6877   1664296105.7163  -0.1240   0.0032      0.7620      27.7600
   72      1269.2403   1664296111.2690  -0.1600   0.0040      9.3260      28.3712
   73      1272.1402   1664296114.1689  -0.1600   0.0040      0.5140      28.5344
   74      1307.2956   1664296149.3242  -0.0472   0.0032      1.1100      28.1408
   75      1308.2054   1664296150.2341  -0.1600   0.0032      2.8900      27.7184
   76      1315.1777   1664296157.2063  -0.1120   0.0032      2.6220      27.0584
   77      1315.6395   1664296157.6681  -0.1296   0.0032      1.4100      27.9264
   78      1404.7049   1664296246.7335  -0.1208   0.0032      2.1920      27.7424
   79      1410.2546   1664296252.2832  -0.0688   0.0032      0.5040      28.6432
   80      1420.2971   1664296262.3257  -0.1600   0.0032      1.0920      27.2664
   81      1429.6876   1664296271.7162  -0.1600   0.0040      1.3120      27.4872
   82      1437.4642   1664296279.4928  -0.1488   0.0032      3.3120      27.8688
   83      1438.1609   1664296280.1895  -0.1536   0.0032      1.2580      27.4144
   84      1452.6323   1664296294.6609  -0.1600   0.0032      4.0400      28.5672
   85      1511.2964   1664296353.3250  -0.0392   0.0032      1.5080      28.5760
